,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,TimeDim,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
93,18017497,GDO_q35,COUNTRY,QAT,YEAR,2015,,,,,,,,,5.1,5.06574,0.05066,,,2018-02-27T14:38:17.42+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
94,18017498,GDO_q35,COUNTRY,SAU,YEAR,2015,,,,,,,,,4.5,4.51654,0.04517,,,2018-02-27T14:38:17.447+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
95,18017499,GDO_q35,COUNTRY,SOM,YEAR,2015,,,,,,,,,4.0,3.96365,0.03964,,,2018-02-27T14:38:17.48+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
96,18017500,GDO_q35,COUNTRY,SDN,YEAR,2015,,,,,,,,,3.6,3.55097,0.03551,,,2018-02-27T14:38:17.51+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
97,18017501,GDO_q35,COUNTRY,SYR,YEAR,2015,,,,,,,,,3.9,3.94594,0.03946,,,2018-02-27T14:38:17.54+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
98,18017502,GDO_q35,COUNTRY,TUN,YEAR,2015,,,,,,,,,4.9,4.85391,0.04854,,,2018-02-27T14:38:17.563+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
99,18017503,GDO_q35,COUNTRY,ARE,YEAR,2015,,,,,,,,,5.1,5.11804,0.05118,,,2018-02-27T14:38:17.593+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
100,18017504,GDO_q35,COUNTRY,YEM,YEAR,2015,,,,,,,,,3.6,3.5746,0.03575,,,2018-02-27T14:38:17.62+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
101,18017505,GDO_q35,COUNTRY,ALB,YEAR,2015,,,,,,,,,4.8,4.77728,0.04777,,,2018-02-27T14:38:17.643+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
102,18017506,GDO_q35,COUNTRY,ARM,YEAR,2015,,,,,,,,,5.0,4.98918,0.04989,,,2018-02-27T14:38:17.67+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
103,18017507,GDO_q35,COUNTRY,AUT,YEAR,2015,,,,,,,,,5.1,5.07762,0.05078,,,2018-02-27T14:38:17.7+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
104,18017508,GDO_q35,COUNTRY,AZE,YEAR,2015,,,,,,,,,4.6,4.63536,0.04635,,,2018-02-27T14:38:17.727+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
105,18017509,GDO_q35,COUNTRY,BLR,YEAR,2015,,,,,,,,,5.6,5.57264,0.05573,,,2018-02-27T14:38:17.75+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
106,18017510,GDO_q35,COUNTRY,BEL,YEAR,2015,,,,,,,,,4.8,4.81365,0.04814,,,2018-02-27T14:38:17.777+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
107,18017511,GDO_q35,COUNTRY,BIH,YEAR,2015,,,,,,,,,5.1,5.06955,0.0507,,,2018-02-27T14:38:17.803+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
108,18017512,GDO_q35,COUNTRY,BGR,YEAR,2015,,,,,,,,,5.2,5.1567,0.05157,,,2018-02-27T14:38:17.833+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
109,18017513,GDO_q35,COUNTRY,HRV,YEAR,2015,,,,,,,,,5.1,5.07759,0.05078,,,2018-02-27T14:38:17.87+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
110,18017514,GDO_q35,COUNTRY,CYP,YEAR,2015,,,,,,,,,5.1,5.06006,0.0506,,,2018-02-27T14:38:17.903+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
111,18017515,GDO_q35,COUNTRY,CZE,YEAR,2015,,,,,,,,,5.2,5.16328,0.05163,,,2018-02-27T14:38:17.93+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
112,18017516,GDO_q35,COUNTRY,DNK,YEAR,2015,,,,,,,,,5.0,4.97833,0.04978,,,2018-02-27T14:38:17.96+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
113,18017517,GDO_q35,COUNTRY,EST,YEAR,2015,,,,,,,,,5.9,5.90777,0.05908,,,2018-02-27T14:38:17.98+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
114,18017518,GDO_q35,COUNTRY,FIN,YEAR,2015,,,,,,,,,5.6,5.61099,0.05611,,,2018-02-27T14:38:18.007+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
115,18017519,GDO_q35,COUNTRY,FRA,YEAR,2015,,,,,,,,,4.8,4.84031,0.0484,,,2018-02-27T14:38:18.033+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
116,18017520,GDO_q35,COUNTRY,GEO,YEAR,2015,,,,,,,,,5.0,4.96391,0.04964,,,2018-02-27T14:38:18.057+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
117,18017521,GDO_q35,COUNTRY,DEU,YEAR,2015,,,,,,,,,5.2,5.19315,0.05193,,,2018-02-27T14:38:18.08+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
118,18017522,GDO_q35,COUNTRY,GRC,YEAR,2015,,,,,,,,,5.7,5.74446,0.05744,,,2018-02-27T14:38:18.103+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
